   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16833    0.032    0.000    0.125    0.000 /usr/lib/python3.14/site-packages/matplotlib/cbook.py:871(get_siblings)
        1    0.000    0.000    0.125    0.125 /usr/lib/python3.14/site-packages/mpl_toolkits/mplot3d/__init__.py:1(<module>)
    15114    0.039    0.000    0.125    0.000 /usr/lib/python3.14/site-packages/matplotlib/colors.py:278(to_rgba)
      400    0.001    0.000    0.123    0.000 /usr/lib/python3.14/site-packages/matplotlib/axes/_base.py:3986(set_ylim)
     9199    0.063    0.000    0.122    0.000 /usr/lib/python3.14/site-packages/numpy/_core/fromnumeric.py:38(_wrapit)
        1    0.000    0.000    0.121    0.121 /usr/lib/python3.14/site-packages/mpl_toolkits/mplot3d/axes3d.py:1(<module>)
4022/2011    0.047    0.000    0.120    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:2432(get_affine)
     6956    0.015    0.000    0.119    0.000 /usr/lib/python3.14/re/__init__.py:330(_compile)
        1    0.000    0.000    0.117    0.117 /usr/lib/python3.14/site-packages/matplotlib/_fontconfig_pattern.py:1(<module>)
    23319    0.041    0.000    0.116    0.000 /usr/lib/python3.14/contextlib.py:303(helper)
        1    0.000    0.000    0.114    0.114 /usr/lib/python3.14/site-packages/pyparsing/__init__.py:1(<module>)
        1    0.000    0.000    0.114    0.114 /usr/lib/python3.14/site-packages/matplotlib/colors.py:1(<module>)
     5013    0.007    0.000    0.114    0.000 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:961(copy)
        1    0.025    0.025    0.113    0.113 /usr/lib/python3.14/site-packages/matplotlib/font_manager.py:1453(_findfont_cached)
        1    0.000    0.000    0.112    0.112 /usr/lib/python3.14/site-packages/numpy/__config__.py:1(<module>)
4004/2002    0.029    0.000    0.111    0.000 /usr/lib/python3.14/site-packages/matplotlib/units.py:164(get_converter)
        1    0.000    0.000    0.111    0.111 /usr/lib/python3.14/site-packages/numpy/_core/__init__.py:1(<module>)
      227    0.037    0.000    0.111    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:1511(get_setters)
        1    0.000    0.000    0.109    0.109 /usr/lib/python3.14/site-packages/matplotlib/widgets.py:1(<module>)
    52/44    0.000    0.000    0.108    0.002 <frozen importlib._bootstrap_external>:1059(exec_module)
    52/44    0.020    0.000    0.108    0.002 {built-in method _imp.exec_dynamic}
    22777    0.029    0.000    0.107    0.000 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:1073(_auto_draw_if_interactive)
        1    0.000    0.000    0.107    0.107 /usr/lib/python3.14/site-packages/matplotlib/pyplot.py:1245(savefig)
        1    0.000    0.000    0.107    0.107 /usr/lib/python3.14/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.107    0.107 /usr/lib/python3.14/site-packages/matplotlib/backend_bases.py:2051(print_figure)
        1    0.000    0.000    0.106    0.106 /usr/lib/python3.14/site-packages/matplotlib/collections.py:1(<module>)
     8992    0.019    0.000    0.105    0.000 /usr/lib/python3.14/site-packages/matplotlib/transforms.py:1996(rotate_deg)
        1    0.000    0.000    0.105    0.105 /usr/lib/python3.14/site-packages/matplotlib/backend_bases.py:2042(<lambda>)
        1    0.000    0.000    0.105    0.105 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        1    0.000    0.000    0.105    0.105 /usr/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
249680/249646    0.093    0.000    0.104    0.000 {built-in method builtins.hasattr}
      393    0.017    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
     5417    0.019    0.000    0.102    0.000 /usr/lib/python3.14/site-packages/matplotlib/text.py:995(set_color)
     9194    0.034    0.000    0.100    0.000 /usr/lib/python3.14/site-packages/matplotlib/patches.py:792(_convert_units)
        1    0.000    0.000    0.100    0.100 /usr/lib/python3.14/site-packages/matplotlib/backend_bases.py:3497(new_figure_manager)
    10616    0.022    0.000    0.100    0.000 /usr/lib/python3.14/site-packages/matplotlib/artist.py:738(set_figure)

